subject_id,algorithm,representation,constraint_handler,config_id,pop_size,max_generations,mutation_rate,seed,runtime_s,f1_best,f2_best,hypervolume,igd,spacing,delta_spread,front_size,max_archive_size,inertia,leader_method,c1,c2,alpha,initial_pheromone,evaporation_rate
1,MOPSO,random_key,none,mopso_p60_g40_w04_c15_a80_sigma,60,40,,1003,0.28234920899558347,2476.9500000000003,249.75373658066417,701221.5261150906,622.2346809137083,244.6739205839005,1.0509708528696733,30,80.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g40_w04_c15_a80_sigma,60,40,,1004,0.27175591699779034,3614.3300000000004,199.00421469585902,383700.3959886721,1105.146001022831,380.6557616377899,0.9150756649693534,10,80.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g40_w04_c20_a80_sigma,60,40,,1000,0.27426500000001397,3921.3300000000004,177.15011677593964,783143.2486309622,1158.554631677625,916.4604383659043,0.8947639412963644,11,80.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g40_w04_c20_a80_sigma,60,40,,1001,0.27529662499728147,4073.9500000000003,185.0747505619305,964880.061462239,1229.2195491368527,629.0040723774574,0.8790852785649571,12,80.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g40_w04_c20_a80_sigma,60,40,,1002,0.2850767500058282,4083.9500000000003,156.98199720275923,483785.8761170297,1248.9538834405894,523.0404048625311,0.8230060598569852,14,80.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g40_w04_c20_a80_sigma,60,40,,1003,0.2669632909965003,3339.9500000000003,235.76505462250185,760573.7150233833,997.6967062081999,816.5253564215909,0.8434316440551619,7,80.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g40_w04_c20_a80_sigma,60,40,,1004,0.2763620420009829,3508.9500000000003,183.1699242618501,583829.2556326755,996.4501930892051,851.5981678949876,0.8663937708225468,9,80.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c15_a40_sigma,60,80,,1000,0.5440738329925807,2105.9500000000003,202.7339784798809,798537.8234313538,525.7132851343495,513.6840984626451,1.1051464918528418,26,40.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c15_a40_sigma,60,80,,1001,0.6296956669975771,2625.3300000000004,203.11435425705656,653285.358421587,587.5717811508765,259.89845888971905,0.9569318593790465,32,40.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c15_a40_sigma,60,80,,1002,0.566185208997922,1206.5700000000002,238.8595863178146,1160118.1882454392,276.6697817041503,367.9472060825036,1.1081322773057998,38,40.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c15_a40_sigma,60,80,,1003,0.611268332999316,1645.9500000000003,204.6667759785642,700343.7848686657,562.8665071931912,710.867435503427,1.0851208883264345,22,40.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c15_a40_sigma,60,80,,1004,0.5405183330003638,2274.9500000000003,129.41818174376644,113356.63365795536,982.0919811365661,147.01220801511002,0.8799709358652427,12,40.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c20_a40_sigma,60,80,,1000,0.541659125010483,2896.57,196.7204796200833,487104.95833786414,844.2093469972293,253.54326601302265,0.8710453941468784,13,40.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c20_a40_sigma,60,80,,1001,0.5456424169969978,3017.3300000000004,163.02074778446328,745614.8613080735,754.0100592688684,928.2118995036149,0.7391259428266734,8,40.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c20_a40_sigma,60,80,,1002,0.5588632080034586,3352.9500000000003,248.09591668510262,1424171.3420992233,883.1107802592281,943.9586943975172,1.0317703436363692,16,40.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c20_a40_sigma,60,80,,1003,0.538033415999962,2688.9500000000003,146.89473320526582,396738.53875237895,627.4457582218922,504.688787292923,0.7642266884580773,10,40.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c20_a40_sigma,60,80,,1004,0.5408095419988967,3364.3300000000004,224.04004193077415,543529.1800889728,980.7772210033522,362.9336273018948,0.8934620469747312,12,40.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c15_a80_sigma,60,80,,1000,0.5398523329931777,2105.9500000000003,202.7339784798809,798537.8234313538,525.7132851343495,513.6840984626451,1.1051464918528418,26,80.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c15_a80_sigma,60,80,,1001,0.7077982920018258,2224.3300000000004,193.3929301877466,597414.406917386,474.39111088856106,204.035218798063,1.3231917327016924,80,80.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c15_a80_sigma,60,80,,1002,0.5712936250056373,1206.5700000000002,238.8595863178146,1160118.1882454392,276.6697817041503,367.9472060825036,1.1081322773057998,38,80.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c15_a80_sigma,60,80,,1003,0.7299205000017537,2194.19,159.36744324398117,369147.2237118892,533.4676165616403,198.65350199949816,1.2661715272389875,66,80.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c15_a80_sigma,60,80,,1004,0.5370788330037612,2274.9500000000003,129.41818174376644,113356.63365795536,982.0919811365661,147.01220801511002,0.8799709358652427,12,80.0,0.4,sigma,1.5,1.5,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c20_a80_sigma,60,80,,1000,0.5395087499928195,2896.57,196.7204796200833,487104.95833786414,844.2093469972293,253.54326601302265,0.8710453941468784,13,80.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c20_a80_sigma,60,80,,1001,0.5521803340088809,3017.3300000000004,163.02074778446328,745614.8613080735,754.0100592688684,928.2118995036149,0.7391259428266734,8,80.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c20_a80_sigma,60,80,,1002,0.5532238339947071,3352.9500000000003,248.09591668510262,1424171.3420992233,883.1107802592281,943.9586943975172,1.0317703436363692,16,80.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c20_a80_sigma,60,80,,1003,0.5355063330061967,2688.9500000000003,146.89473320526582,396738.53875237895,627.4457582218922,504.688787292923,0.7642266884580773,10,80.0,0.4,sigma,2.0,2.0,,,
1,MOPSO,random_key,none,mopso_p60_g80_w04_c20_a80_sigma,60,80,,1004,0.541706082993187,3364.3300000000004,224.04004193077415,543529.1800889728,980.7772210033522,362.9336273018948,0.8934620469747312,12,80.0,0.4,sigma,2.0,2.0,,,
1,P-ACO,direct_index,none,paco_p30_g40_a40_rho005_a10_t010,30,40,,1000,11.490160625005956,4950.330000000002,236.99744461195527,569636.0572586645,1960.852619221377,876.780578016606,0.9019478796520712,6,40.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g40_a40_rho005_a10_t010,30,40,,1001,11.429938916990068,5057.950000000001,252.32214813758344,1131056.047638153,1920.5348157442068,1065.135986312586,0.9424906379432041,8,40.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g40_a40_rho005_a10_t010,30,40,,1002,11.447641749997274,5261.330000000002,154.11731820746283,441936.53849820414,2092.8108194292254,349.53884499493904,0.8943368829520483,8,40.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g40_a40_rho005_a10_t010,30,40,,1003,11.477279332990292,4785.950000000001,236.51068386904728,842406.0045613165,1724.9134247221134,526.6357059564037,0.6576402088231013,7,40.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g40_a40_rho005_a10_t010,30,40,,1004,11.465686291005113,5156.33,180.06990923662556,364494.1675961674,1978.3539855322417,270.3765531577394,0.8222207548352246,14,40.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g40_a40_rho01_a10_t010,30,40,,1000,11.436011375000817,4780.950000000001,174.18216049616643,375530.36927266774,1748.1379851003949,631.5655317342066,0.845617529208348,8,40.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g40_a40_rho01_a10_t010,30,40,,1001,11.46579758299049,4564.33,195.03047475519793,682684.0196793176,1550.9108103436736,328.21665846103815,0.6241755983975316,11,40.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g40_a40_rho01_a10_t010,30,40,,1002,11.469348790997174,4907.33,248.2508326354868,628580.4220380518,1832.883168978381,446.7231585725974,0.8708518654786144,10,40.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g40_a40_rho01_a10_t010,30,40,,1003,11.46028133299842,4082.9500000000003,247.68421040613893,467858.5097723734,1369.2190561662255,120.62425319059346,0.697688506001154,6,40.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g40_a40_rho01_a10_t010,30,40,,1004,11.453702792001422,4800.33,172.92205599368032,1046486.6848680541,1659.9678646922648,610.804088018628,0.7304491152728991,9,40.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g40_a80_rho005_a10_t010,30,40,,1000,11.442988166993018,4950.330000000002,236.99744461195527,569636.0572586645,1960.852619221377,876.780578016606,0.9019478796520712,6,80.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g40_a80_rho005_a10_t010,30,40,,1001,11.466085375010152,5057.950000000001,252.32214813758344,1131056.047638153,1920.5348157442068,1065.135986312586,0.9424906379432041,8,80.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g40_a80_rho005_a10_t010,30,40,,1002,11.452051125001162,5261.330000000002,154.11731820746283,441936.53849820414,2092.8108194292254,349.53884499493904,0.8943368829520483,8,80.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g40_a80_rho005_a10_t010,30,40,,1003,11.443564792003599,4785.950000000001,236.51068386904728,842406.0045613165,1724.9134247221134,526.6357059564037,0.6576402088231013,7,80.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g40_a80_rho005_a10_t010,30,40,,1004,11.471006708001369,5156.33,180.06990923662556,364494.1675961674,1978.3539855322417,270.3765531577394,0.8222207548352246,14,80.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g40_a80_rho01_a10_t010,30,40,,1000,11.497837457995047,4780.950000000001,174.18216049616643,375530.36927266774,1748.1379851003949,631.5655317342066,0.845617529208348,8,80.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g40_a80_rho01_a10_t010,30,40,,1001,11.48430433300382,4564.33,195.03047475519793,682684.0196793176,1550.9108103436736,328.21665846103815,0.6241755983975316,11,80.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g40_a80_rho01_a10_t010,30,40,,1002,11.438722582999617,4907.33,248.2508326354868,628580.4220380518,1832.883168978381,446.7231585725974,0.8708518654786144,10,80.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g40_a80_rho01_a10_t010,30,40,,1003,11.456224499997916,4082.9500000000003,247.68421040613893,467858.5097723734,1369.2190561662255,120.62425319059346,0.697688506001154,6,80.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g40_a80_rho01_a10_t010,30,40,,1004,11.501444457986508,4800.33,172.92205599368032,1046486.6848680541,1659.9678646922648,610.804088018628,0.7304491152728991,9,80.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g80_a40_rho005_a10_t010,30,80,,1000,22.676438417009194,4118.33,200.83120619666863,360644.52493557375,1418.6842078897014,341.8005292455567,0.9355905813651635,11,40.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g80_a40_rho005_a10_t010,30,80,,1001,22.669453333001,3762.9500000000003,177.60847723678856,681636.193342839,1043.606070129735,800.2838517067165,0.8239105385907773,12,40.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g80_a40_rho005_a10_t010,30,80,,1002,22.72542041700217,3596.3300000000004,202.82508678663316,586809.6311735304,1097.783258857851,1132.0458488969773,0.8701805530499774,5,40.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g80_a40_rho005_a10_t010,30,80,,1003,22.76756983299856,4245.33,192.39900350731546,679102.6793791669,1380.188998441235,700.3430222262031,0.9553760385777301,11,40.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g80_a40_rho005_a10_t010,30,80,,1004,22.725499542008038,3658.3300000000004,211.34072511707708,696708.5709562209,1054.8359949839146,450.6758586151555,0.7901516917139109,10,40.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g80_a40_rho01_a10_t010,30,80,,1000,22.729779750006855,2031.9500000000003,177.39308461323134,305702.87079104764,676.3893487306254,498.57228553222234,0.8679200550881285,8,40.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g80_a40_rho01_a10_t010,30,80,,1001,22.85527749999892,2929.57,119.81614606857862,187420.5479564281,855.8600563749112,670.7368004335223,0.8559071217241505,7,40.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g80_a40_rho01_a10_t010,30,80,,1002,22.805069166992325,2222.9500000000003,120.39214144489722,47694.58031804956,1320.4233490424072,263.55846567573747,0.874181522113738,4,40.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g80_a40_rho01_a10_t010,30,80,,1003,22.79918720900605,1434.3300000000004,142.43673570470742,250202.1875980695,795.7240488329617,808.6677593690255,0.7970753932778277,5,40.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g80_a40_rho01_a10_t010,30,80,,1004,22.791207082991605,2452.9500000000003,163.2412284284173,315405.8245631783,715.1331743086416,263.74831104240064,0.6855893224116466,6,40.0,,,,,1.0,1.0,0.1
1,P-ACO,direct_index,none,paco_p30_g80_a80_rho005_a10_t010,30,80,,1000,22.66963420799584,4118.33,200.83120619666863,360644.52493557375,1418.6842078897014,341.8005292455567,0.9355905813651635,11,80.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g80_a80_rho005_a10_t010,30,80,,1001,22.7065753749921,3762.9500000000003,177.60847723678856,681636.193342839,1043.606070129735,800.2838517067165,0.8239105385907773,12,80.0,,,,,1.0,1.0,0.05
1,P-ACO,direct_index,none,paco_p30_g80_a80_rho005_a10_t010,30,80,,1002,22.714343915999052,3596.3300000000004,202.82508678663316,586809.6311735304,1097.783258857851,1132.0458488969773,0.8701805530499774,5,80.0,,,,,1.0,1.0,0.05
