subject_id,config_id,algorithm,representation,constraint_handler,seed,runtime_s,f1_best,f2_best,front_size,hypervolume,igd,spacing,delta_spread
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,103,2.6628101249953033,2050.57,212.83398527466264,80,2069240.1668781054,189.07388330430763,135.98293934229395,0.7986578866967221
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,104,2.7308432919962797,1960.3300000000004,170.99006075880757,80,786266.3494219054,242.22698267143224,73.13893739633592,0.7951173701736827
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,105,2.781960665990482,1916.9500000000003,225.39180597136422,80,1688844.4997541218,198.86749326899604,180.78090119963602,0.8296364862490919
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,106,2.7158158749953145,2357.9500000000003,164.4306694570691,80,1010621.709351117,268.74553955684337,99.69906669983577,0.8624425507386472
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,107,2.7221310839959187,2146.3300000000004,164.94083536411168,80,1221024.5575410405,209.08619091586004,95.23342396311189,0.8247583199620094
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,108,2.783970791992033,2190.9500000000003,171.86868270707316,80,1051483.119359376,218.7360034009979,110.03881610769187,0.8296307201836993
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,109,2.7530266249959823,2372.9500000000003,178.08047632202255,80,1139550.4435959994,287.91766862765763,107.78241967668333,0.7963161539006066
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,110,2.672624332990381,2219.9500000000003,171.0131419224379,80,1275865.5636778434,233.3859236272241,114.37981997217504,0.8650634424950154
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,111,2.7208364160032943,1889.3300000000004,243.24130404361017,80,1379896.6554386185,181.5680122962837,103.17572187292517,0.8430731048238939
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,112,2.7948835420102114,1883.5700000000002,239.84653290764496,80,1825991.1122155658,169.02279715556435,104.57046932279327,0.7512866509661899
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,113,2.7487878749961965,1582.3300000000004,223.37444671825784,80,1718207.969908674,149.53417008692605,161.9550065766816,0.860773851584739
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,114,2.7331136249995325,2217.9500000000003,164.49677661922524,80,1054808.360594445,227.65630352382203,126.49729062651843,0.850850643766043
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,115,2.7526698330038926,1417.9500000000003,279.37075145789765,80,1747731.5950679998,124.84846314810828,124.11845827208873,0.7789401465453611
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,116,2.7672893749986542,1676.9500000000003,242.685058047624,80,1511937.0759125978,171.14675242948883,83.65630414217071,0.7382925097183396
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,117,2.7541667919867905,1916.9500000000003,224.23362186300102,80,1528022.6985435763,187.0276958496635,127.96525178861371,0.8400402791521845
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,118,2.7237923330103513,1982.9500000000003,204.41368359227397,80,2929120.3034622925,180.1614919191195,127.83438313236896,0.7812161966668196
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,119,2.7376745419896906,2026.3300000000004,183.82231470496998,80,1241134.8472328698,203.660969656561,132.53611296168194,0.9166197840611882
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,120,2.754887000002782,2068.57,171.385145658518,80,879742.5829270763,291.91023767717127,58.80288491360801,0.7674378557570164
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,121,2.719009707987425,2054.57,237.8804480309326,80,1333223.1863726822,201.61367095224946,121.03122762489483,0.8247615997192631
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,122,2.690934374986682,1940.9500000000003,189.53490022940235,80,1288602.1813180838,189.91913814100928,131.14538093686744,0.7871690760117996
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,123,2.7064992919913493,1503.9500000000003,198.49878277069044,80,1538214.057439391,109.2809997767615,87.61354847140969,0.710114410367424
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,124,2.7865714999934426,1710.9500000000003,228.9562739233719,80,1302501.6597319045,136.8552589211377,84.37662759054781,0.7174477738732492
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,125,2.716488375008339,1747.5700000000002,207.0248805889494,80,1639402.6521721971,169.14471705421698,157.9902278229947,0.8192360490593333
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,126,2.7120934580016183,2380.9500000000003,132.5198965150233,80,1391359.424491939,286.68428528863615,89.80908024993056,0.8231588880064036
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,127,2.7610509999940405,2427.57,172.71630955907648,80,1031232.9139055745,305.9513872023549,109.65832934659278,0.8378088403965297
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,128,2.7800843750010245,1746.5700000000002,204.86386841921416,80,1606698.7822549301,149.417690511668,160.01696285568252,0.9012538930818196
1,nsga2_di_death,NSGA-II,direct_index,death_penalty,129,2.7404089999909047,1550.3300000000004,300.2301393408512,80,2562326.6287812004,131.80915555756127,180.26940065155847,0.8957477835923855
1,paes_di_repair,PAES,direct_index,repair,100,2.023789416998625,4067.3300000000004,122.58145536217097,40,314241.75031969766,1012.8748437640269,218.40377305347658,1.0523773257602012
1,paes_di_repair,PAES,direct_index,repair,101,2.006931625001016,2856.9500000000003,130.8262675268234,40,280457.8297120454,533.3128305220808,118.51111094243409,0.9347115510477679
1,paes_di_repair,PAES,direct_index,repair,102,2.096540750004351,4376.57,115.59817565956483,40,471421.36476822064,1101.144417358938,242.5764141747325,1.0822307825385085
1,paes_di_repair,PAES,direct_index,repair,103,1.9620736250071786,2872.9500000000003,150.23336554204903,40,701936.9948830759,474.86917058067564,225.3444378385331,0.993612367365926
1,paes_di_repair,PAES,direct_index,repair,104,1.9487217080022674,2444.9500000000003,157.52526428459623,40,273777.3971733646,564.0206773200491,134.44839856138796,1.0456526132961022
1,paes_di_repair,PAES,direct_index,repair,105,1.9849449159955839,4685.950000000001,101.11905477737909,40,446840.4196919879,1287.3088621857235,238.30835215925404,1.0910441683469698
1,paes_di_repair,PAES,direct_index,repair,106,1.9479359999968437,2775.3300000000004,175.76762319097304,40,836489.0907959811,448.03269184242527,226.21245649635716,0.9443504253828076
1,paes_di_repair,PAES,direct_index,repair,107,1.9170382090087514,3864.3300000000004,102.63254338846097,40,246237.54212539288,901.8324586298658,163.01217811968056,0.9824087400503762
1,paes_di_repair,PAES,direct_index,repair,108,2.0602898340002866,2997.9500000000003,114.71625809983018,40,232652.6619246455,519.0726379717468,146.56584101797577,1.0035584788962686
1,paes_di_repair,PAES,direct_index,repair,109,1.9686659169965424,3473.9500000000003,114.99410539105598,40,167863.5107693628,866.6541824925979,146.80039844186874,1.1099631016451261
1,paes_di_repair,PAES,direct_index,repair,110,2.0174183749913936,2229.9500000000003,148.1602671511252,40,581525.7560955381,321.67961322022086,250.344175444322,1.0164617946824932
1,paes_di_repair,PAES,direct_index,repair,111,1.9216710830078227,2926.3300000000004,136.3531009947779,40,221022.00927948553,791.5689881685049,106.372138617359,1.0468564005097716
1,paes_di_repair,PAES,direct_index,repair,112,1.90691966599843,3778.3300000000004,131.03199388603025,40,276178.5513909505,864.4427121127167,139.69130749620066,1.0091253100878592
1,paes_di_repair,PAES,direct_index,repair,113,1.9830081249965588,2418.9500000000003,209.8184556846303,40,1267138.1073558447,407.4706440700905,540.2790140145635,1.042152611041178
1,paes_di_repair,PAES,direct_index,repair,114,1.987091082992265,2451.3300000000004,135.72306476098143,40,705643.4988995598,308.66332115677164,292.6836488957237,0.9465148972226238
1,paes_di_repair,PAES,direct_index,repair,115,2.051846000002115,2860.3300000000004,147.57501566482293,40,435403.1182395243,497.44275808669653,166.3075542029875,0.9832939112262128
1,paes_di_repair,PAES,direct_index,repair,116,1.8212494579929626,2155.57,128.29592814581173,28,905447.6170464214,346.03890524488617,241.08490506126816,0.8796231341800702
1,paes_di_repair,PAES,direct_index,repair,117,2.0295153750048485,2445.9500000000003,155.4567688380984,40,606368.751975053,343.5413190137522,289.9321609985704,1.0501283912613544
